"english","short","zh","keep_english","domain","notes"
"Box Splitter","","分盒器","false","storage","接受混杂潜影盒并将其内容拆成每种物品类型一个盒子的装置。"
"Ideal Splitter","","理想分盒器/ideal splitter","true","storage","高吞吐分盒方案；作为具体设计名时保留英文。"
"Variable Cart Ideal Splitter","","Variable Cart Ideal Splitter","true","storage","使用可变/过滤矿车参与分配流程的 ideal splitter 变体。"
"x64 Ideal Splitter","","x64 Ideal Splitter","true","storage","64 路或 x64 规模的 ideal splitter 设计名。"
"Cycvar","cycvar","cycvar","true","storage","循环式可变矿车分盒/分类思路，通常保留英文缩写。"
"Cart Cycvar","cart cycvar","cart cycvar","true","storage","基于矿车实现的 cycvar。"
"Svar","svar","svar/自适应潜影盒分类","true","storage","通常只检查从盒子中抽出的第一个物品来分类/分配。"
"Toggle Buffer","","切换缓冲/toggle buffer","true","storage","在接收和输出状态间切换的缓冲结构。"
"Double Buffer","","双缓冲","false","storage","两套缓冲流水线化接收和输出，常增加边界情况。"
"Double Cache","","双缓存","false","storage","每个单片额外设置的缓存/缓冲；语境接近 double buffer。"
"Per-Slice Buffer","","单片缓冲/per-slice buffer","true","storage","每个 slice 本地拥有的缓冲。"
"Return Set","","返回集/return set","true","storage","从某处理路径返回的一组盒子或物品流。"
"Empty Slice Detection","","空单片检测/empty slice detection","true","storage","检测某个 slice 是否为空或就绪的逻辑。"
"Non-Whitelisted Box","","非白名单盒","false","storage","内容不匹配当前白名单/白名单器的潜影盒。"
"Full Box","","满盒","false","storage","已装满或达到目标装载状态的潜影盒。"
"Mixed Box","","混杂盒","false","storage","含多种物品类型的潜影盒。"
"Bulk Box","","大宗盒/bulk box","true","storage","通常含单一大宗物品类型的潜影盒。"
"Loose Item","","散装物品","false","storage","未装入潜影盒的物品。"
"Item Pile","","物品堆/item pile","true","storage","聚在一起的一批物品实体，可用于合并、聚堆或分配。"
"Box Temp","","盒子暂存/box temp","true","storage","潜影盒在进一步处理前进入的临时存储/暂存系统。"
"Box Stream","","盒子流/box stream","true","storage","盒子通过漏斗、矿车、水流等路径连续移动形成的流。"
"Loader","","打包机","false","storage","将物品装入潜影盒并输出该盒的装置。"
"Loader Utilization","","打包机利用率/loader utilization","true","storage","打包机有效工作或被占用的比例。"
"Unloader","","拆包机/卸货机","false","storage","从潜影盒中移出物品内容的装置。"
"Box Merger","","潜影盒合并器/box merger","true","storage","接受两个潜影盒并合并为一个的装置。"
"Grouper","","分组器/grouper","true","storage","把盒子或物品按目标、类型或批次分组的逻辑/装置。"
"Local Grouper","","局部分组器/local grouper","true","storage","每个 slice 内部或对应的分组器。"
"Global Grouper","","全局分组器/global grouper","true","storage","全局先分组再把批次送往一个或多个 slice 的分组器。"
"Whitelister","","白名单器/whitelister","true","storage","定义允许进入某 slice/loader/path 的物品集合或装置。"
"Whitelisting","","白名单过滤/whitelisting","true","storage","定义并应用允许物品集合的过程。"
"Variable Cart","","可变矿车/variable cart","true","storage","分配逻辑中目标、过滤物或携带物可变化的矿车。"
"Filtered Cart","","过滤矿车/filtered cart","true","storage","配合过滤器抽取、路由或分配匹配物品的矿车。"
"Var Filter","","可变过滤器/var filter","true","storage","匹配当前物品、盒子、slice 或分配目标的可变过滤器。"
"Variable Filter","","可变过滤器","false","storage","运行过程中目标物品或条件会变化的过滤器。"
"Filter Item","","过滤物品/filter item","true","storage","用于设置、保持或恢复过滤状态的物品。"
"Blocker","","占位物/填充物","false","storage","用于占槽、限制物品路径或填充过滤状态的物品。"
"Unstack Handling","","不可堆叠物品处理/unstack handling","true","storage","针对不可堆叠物品所需的特殊处理逻辑。"
"Hyperthreading Logic","","超线程逻辑/hyperthreading logic","true","storage","让多个处理步骤重叠或让多个 slice 流水线并行推进的逻辑。"
"Preprocessing","","预处理/preprocessing","true","storage","主分盒器或分类器前的准备逻辑。"
"isEmpty Check","","isEmpty 检测","true","storage","检测盒子、缓冲或 slice 是否为空的逻辑。"
"Double Chest","dc","双箱/dc","true","storage","一双箱容量或与双箱相当的存储量。"
"(Shulker Box) Disk Driver","","盒子硬盘","false","computational-redstone","Imported from source category: computational."
"AND-Gate","","与门","false","computational-redstone","与门。一种逻辑电路，输出仅在所有输入均为真时为真。"
"Decoder","","解码器","false","computational-redstone","在计算红石中，有时指增大编码基数，例如从二进制（bin）转换为十六进制（hex），参见转码器（Transcoder）。"
"Encoder","","编码器","false","computational-redstone","In computational redstone, this sometimes refers to decreasing the size of the base used in the code: for example hex to bin. see Transcoder."
"Fifo (aka Shift Register)","","移位寄存器","true","computational-redstone","Imported from source category: computational."
"Logical Gate","","逻辑门","false","computational-redstone","一种逻辑运算单元，在minecraft中，其有信号，无信号可以分别代表逻辑上个“真”搭“假”或二进制当中个1搭0，从而实现逻辑运算。"
"Parallel Codes","","并行码/并行信号","false","computational-redstone","A code is said to be parallel if the all the bits of the signal are sent through individual wires or lines This usually allows for faster and easier to use codes than Serial codes, but it tends to be more expensive and bigger."
"Random-Access Memory","RAM","读写存储器","true","computational-redstone","Imported from source category: computational."
"Read-Only Memory","ROM","只读存储器","true","computational-redstone","Imported from source category: computational."
"Redcoder","","红石信号解码器","false","computational-redstone","Imported from source category: computational."
"Serial Codes","","串行码/并行信号","false","computational-redstone","A code is said to be serial if the bits of the signal are sent one after the other through a single wire. This is more space and resource efficient than Parallel codes, but usually slower and harder to implement."
"Shift Register (aka Fifo)","","移位寄存器","true","computational-redstone","Imported from source category: computational."
"T Flip-Flop","","T触发器/T触","true","computational-redstone","一个装置，受到一次脉冲时翻转自身状态。"
"Toggle State","","T触","true","computational-redstone","Usually used to refer to intentionally having sticky piston's drop its block by sending it a <3gt pulse in order to cycle between two different states (toggling between block in and out). Importantly, togglestates have no default position, and there is no way to reset them. This makes them painful to use in survival as they're hard to debug. This is different to latches, which are also systems that hold state. Latches usually have a reset signal that you can trigger when something goes wrong."
"Transcoder","","转码器","false","computational-redstone","A device or contraption to convert between encodings of a signal: Binary to Hexadecimal, hex to octal, pulse length to binary, block event delay to overloaded comparator, etc."
"Main Storage","MS","全物品/全物品分类仓库","true","storage","储电述语，指一个巨大的仓库，其可分类并存储几乎所有可获得的已知物品。"
"0-tick","0t","0t","true","redstone","常指短于1游戏刻的红石信号。也可用于描述在同一游戏刻内活塞的伸出和缩回。"
"Array","","阵列","false","redstone","阵列。指一组按特定模式排列的样式。"
"Block Entity (aka Tile Entity)","","方块实体","true","redstone","指具有外观渲染，特殊功能或存储NBT数据的方块，如箱子、熔炉等。"
"Block Event","BE","方块事件","true","redstone","用于同步并指导客户端执行特定方块行为或者模拟服务器发生的方块行为。"
"Block Event Delay/Depth","BED","方块事件深度/方块事件延迟","true","redstone","方块事件延迟/深度。通常指在单个游戏刻内，活塞通过链式反应更新其他活塞。由于活塞在游戏刻的方块事件阶段激活，且按调度顺序执行，由三个活塞链更新触发的活塞（BED 3）总比由五个活塞链更新触发的（BED 5）先发生。"
"Block Stream","","方块流","false","redstone","Imported from source category: general."
"Block Stream Merger","","方块整流器","false","redstone","Imported from source category: general."
"Block Tick (aka Tile Tick)","","计划刻","true","redstone","指游戏中为特定方块安排的延迟执行任务。"
"Comparator Update","","比较器更新","false","redstone","Imported from source category: general."
"Comparator Update Detector (aka Tile Entity Update Detector)","CUD","比较器更新检测器","true","redstone","检测比较器更新。"
"Conversion","","换算","false","redstone","Imported from source category: general."
"Conveyor","","传送带","false","redstone","传世方块或实体的装置。"
"Crafter","","合成器/牛爷爷","false","redstone","Imported from source category: general."
"Crosstalk","","串线","false","redstone","指两个单片/线路的互相影响。"
"Cyclical","cyc","循环的","true","redstone","Imported from source category: general."
"Directional","dir","方向性","true","redstone","如果一个装置在旋转或镜像时表现出不同的行为，则称其为方向性的。这通常是由于某些内部组件本身具有方向性，而方向性最常见的原因是更新顺序：每个组件按固定顺序（例如，先从负Z到正Z，再从负Y到正Y，然后是X）通知其邻居进行更新。此外，也存在其他导致方向性的原因。"
"Dust Updateless","","无红石粉能量变化;无粉(广义)","false","redstone","一些装置不是无粉的，但其中的粉不会发出方块更新和改变信号值。"
"Dustless","DL","无粉(狭义)","true","redstone","通常指无红石粉更新的装置，但也可用于表示装置内完全不含红石粉。"
"Dropper Line","","投掷器链","false","redstone","用投掷器快速传输物品的装置。"
"Dynamic","","动态的","false","redstone","Imported from source category: general."
"Efficiency","","利用率","false","redstone","描述一个自动农场的高效度。"
"Filtered","","分类的","false","redstone","Imported from source category: general."
"Flying Machine","FM","飞行器","true","redstone","Imported from source category: general."
"Game Tick (aka Tick)","gt","游戏刻","true","redstone","Minecraft循环执行其代码。其中一轮循环被称为一个游戏刻。"
"Hopper Line","","漏斗链","false","redstone","漏斗组成的，传输物品的传输链。"
"Hybrid","","复合的","false","redstone","Imported from source category: general."
"Ice Highway","","冰道","false","redstone","由冰组成的，可以快速运输实体的道路。"
"Instant","","即时(瞬时)","false","redstone","事件B直接在事件A的调用堆栈中被引发。"
"Instant Wire","","瞬时线路","false","redstone","指可以瞬时快速传递信号的装置。"
"Layout","","架构","false","redstone","方块的有效排列组合"
"Locational","loc","位置性","true","redstone","一个在不同位置表现不同的装置被称为位置性，常由位置的哈希值影响。该现象在方块实体运算顺序，粉更新顺序，粘液块结构移动顺序等中体现。"
"MicroTiming","","微时序","false","redstone","一个游戏刻内发生的事件的顺序被称为微时序。"
"Mixed","","混杂的","false","redstone","Imported from source category: general."
"Moving Piston (aka Block 36)","","移动中的方块","true","redstone","该方块由活塞生成，活塞推动/拉回路径上的方块均被转换为它以播放移动动画和处理动态碰撞箱等。"
"Neighbor Change","NC","方块更新","true","redstone","邻居更新，用于通知邻近方块更具周围的环境进行自身行为检测。"
"Next Tick Entry(aka Tile Tick)","NTE","计划刻阶段","true","redstone","游戏刻内的该阶段统一顺序地处理方块计划刻和流体计划刻"
"Pistonless","","无活塞的","false","redstone","此装置内没有活塞。"
"Post Placement (aka Shape Update)","PP","形状更新/状态更新","true","redstone","形状更新，用于通知邻近方块更具周围的环境改变自身形状。"
"Pulse","","脉冲","false","redstone","红石信号的一次亮灭通常被称为脉冲。"
"Quasi Connectivity","QC","半连接性","true","redstone","指 活塞，发射器，投掷器 除了以自身是否被充能为激活条件外，还会检测自身上方一格是否被充能 的特性。"
"Rates","","效率","false","redstone","常描述产出产物的效率。"
"Redstone Tick","rt","红石刻","true","redstone","历史遗留的歧义称呼。曾经的玩家将2游戏刻称为1红石刻。在基岩版中，该词汇形容每间隔1普通游戏刻才出现的，处理红石系统的特殊游戏刻。这个词的使用正在减少。"
"Scheduled Tick (aka Tile Tick)","","计划刻","true","redstone","指游戏中为特定方块安排的延迟执行任务。"
"Schematic","Schem","投影/原理图","true","redstone","一种nbt格式文件，记录一定区间内的方块排列。可被投影模组等读取"
"Self-Returning","","自返回","false","redstone","Imported from source category: general."
"Shape Update(aka Post Placement)","","形状更新/状态更新","true","redstone","Imported from source category: general."
"Signal Strength","SS","信号强度","true","redstone","Imported from source category: general."
"Signal Strength Isolated","SSI","信号隔离","true","redstone","Imported from source category: general."
"Size/Dimension","","体积","false","redstone","Imported from source category: general."
"Slice","","单片","false","redstone","A repeatable (preferably tileable ) component within a system."
"Slime-less","","无粘","false","redstone","Adjective. Usually refers to the absence of slime ball and slime blocks of a contraption."
"Solid State","","静态结构","false","redstone","Used to tag a contraption that has no moving parts or, more loosely, that has no pistons spitting blocks, or other forms of Toggle state. This term is also sometimes interchangeably used with Pistonless, although you can have a solid state contraption (in the loose way) with pistons by having them never spit out the block, i.e. powering them with long pulses only."
"Sorter","","分类器","false","redstone","Imported from source category: general."
"Splitter","","分流","false","redstone","Imported from source category: general."
"Stack","","堆","false","redstone","Refers to a pile of entities, such as items or mobs"
"Sync","","同步","false","redstone","Imported from source category: general."
"Tick (aka Game Tick)","t","游戏刻","true","redstone","同游戏刻（GameTick）"
"Tile Entity (aka Block Entity)","TE","方块实体","true","redstone","同BlockEntity"
"Tile Tick (aka Block Tick)","TT","计划刻","true","redstone","指游戏中为特定方块安排的延迟执行任务。"
"Tile Tick Priority","TTP","计划刻优先级","true","redstone","Imported from source category: general."
"Tileable","","可堆叠/拼接的","false","redstone","Imported from source category: general."
"Update Order","","更新顺序","false","redstone","Imported from source category: general."
"Wallstone","","墙电","false","redstone","Refers to a method of sending signal or update through the shape change of walls."
"Water stream","","水道","false","redstone","Imported from source category: general."
"Wiring","","布线/线路","false","redstone","Imported from source category: general."
"{count} tick","{count}t","{count} t","true","redstone","{count} amount of game ticks."
"{count}-Wide AB Tileable","{count}wABt","{count}宽AB堆叠","true","redstone","An extension of {count}-Wide tileable, but where a solution has been provided by the author on how to put 2 Slices of the same system next to each other, by moving/editing some components within the system. The capital letters ( AB, or ABC, or ABCD, ... ) annotate how the slices are tiled, and how many versions of the slice exist to achieve a result."
"{count}-Wide Tileable","{count}wt","{count}宽堆叠","true","redstone","Annotates the width of a slice, and whether or not you can build them right next to each other. There are systems that are 1 wide, but you can't put 2 next to each other due to Crosstalk, so they don't get this annotation. Sometimes they are {count}-Wide AB Tileable instead."
"Item Sorter","","物品分类","false","storage","Storage tech term."
"Storage Tech","ST","储电/储存电路","true","storage","Storage Technology, usually referred to item sorting and storage systems"
"High Signal Strength (aka Overstacked Signal Strength)","HSS","强模","true","storage","可由比较器读出与传递的，信号强度超过15的非法信号。"
"4D Aligner (aka Perfect Aligner)","","四维矫正器","true","storage","指一种装置，在将物品送入水流前沿三个轴（X、Y、Z）对其进行对齐，通常由漏斗收集。由于这些装置通常以漏斗速度运行，物品之间需要精确的时间间隔，以避免在漏斗冷却期间到达，因此也被称为4D对齐器（3D空间+时间）。"
"Accessible","","可访问的","false","storage","Imported from source category: storage."
"Accessible Box Loader","","可访问打包机","false","storage","储电术语。指一种打包机，允许玩家访问正在装载的潜影盒。"
"Batcher","","聚堆器","false","storage","储电术语。指一种装置，将物品实体聚集成组，然后定期释放到水流或冰道"
"Blacklister","","黑名单","false","storage","储电术语。"
"Blockerless","","无填充物的, 无占位物的","false","storage","无需填充物/占位物的组件"
"Box Blacklister","","盒子黑名单","false","storage","储电术语。指根据输入潜影盒的第一个物品是否匹配特定物品集来分离潜影盒的装置。"
"Box Comparer","","盒子容量比较","false","storage","储电术语。指一种装置，接受两个潜影盒作为输入，通过信号强度比较其填充程度，通常有专用输出用于满载和较少装载的潜影盒。"
"Box Detection","","盒子输入检测/盒子扫描器","false","storage","储电术语。通常用于标记在潜影盒输入且之前为空时自动重启的打包机或潜影盒展示装置。"
"Box Display","","盒子展示/箱盒展示/盒展","false","storage","储电术语。"
"Box Grouper","","盒子分组器","false","storage","Storage tech term."
"Box Loader","","打包机","false","storage","储电术语。指一种装置，将物品装入潜影盒并随后破坏潜影盒以输出。"
"Box Processor","","潜影盒处理","false","storage","Storage tech term."
"Box Separator","","盒子分离器","false","storage","储电术语。指一种装置，接受潜影盒作为输入，并根据其内容将其分离到不同输出。例如，可将单一物品类型的潜影盒根据内容物分为16可堆叠和64可堆叠的潜影盒的输出。"
"Box Sorter","","盒子分类","false","storage","储电术语。指一种装置，接受单一物品类型的潜影盒，取出第一个物品，并将潜影盒分配到与该物品过滤器匹配的存储单片。"
"Box Unloader","","盒子拆包机/卸货机","false","storage","储电术语。指一种装置，从潜影盒中移出物品内容。"
"Box Yeet","","烧包","false","storage","储电术语。指通过烧毁潜影盒来卸载其内部物品的行为。"
"Bufferless","","无缓存","false","storage","Storage tech term."
"Bulk (Storage)","","大宗","false","storage","储电术语。指一种存储大量物品的系统，通常每个模块存储单一类型的物品，并以潜影盒形式存储。"
"Cart Based Box Unloader","","矿车盒子拆包机/矿车盒子卸货机","false","storage","使用漏斗矿车从潜影盒中卸载物品的装置。"
"Cart Yeet","","烧车","false","storage","通过烧毁矿车来卸载其内部物品的行为。"
"Chest Hall","","全物品单片","false","storage","全物品中位于同一截面片的，多个独立分类/存储系统组成的单片。"
"Crafter (Box) Loader","","合成打包机","false","storage","带有合成器的打包机"
"Crafting Station","","合成站","false","storage","用于方便大量合成物品的设施。"
"Deserializer","","串行信号接收器","false","storage","储电术语。指用于将串行码转换为并行码或反之的组件。在计算红石意义上，这些组件有时也充当编码器或解码器。例如，从串行十六进制到并行二进制的转换属于解串器编码器。"
"Dropper Speed","","投掷器速","false","storage","储电术语。与漏斗速度类似，但使用较少。指投掷器在最小间隔（每4游戏刻处理1个物品）时处理物品的速度。通常以整数或分数表示（例如“3倍或1/2倍投掷器速度”）。1倍投掷器速度等于2倍漏斗速度。"
"Encoded","","编码的","false","storage","Storage tech term. A system is said to be encoded when a signal in the form of a code is used to decide the fate of items or boxes. In broader terms, it refers to systems that use codes to transfer instructions. Codes can be a Binary signal, a Hexadecimal signal or, less often, octal or quaternary, with either multiple or single digits."
"Fill (Level) (Box) Sorter","","填充度分类器","false","storage","Storage tech term. Refers to a Box Separator that has different outputs based on how full the box is, usually Empty / Full / Partial. IsEmpty is a Fill Sorter that only has outputs for empty and not-empty ( Full / Partial ) IsFull is a Fill Sorter that only has outputs for full and not-full ( Empty / Partial )"
"Filtered Loader","","分类打包机","false","storage","Storage tech term. A Loader combined with an item filter that fills a box with just one item type."
"First box placement","","自喷盒","false","storage","Storage tech term, refers to a feature of a contraption (usually box unloader or box display) that automatically places the first box."
"Fixed Sorter","","固定分类","false","storage","Storage tech term. Short for fixed type item sorter: a sorter that filters out one single item type and can't be changed without manual intervention."
"Full Item Stack","","物品组","false","storage","一个物品栏槽位内/掉落物实体中，到达堆叠上限的一些物品，如64，16，1。具体上限因物品而异。"
"Full Speed (Box) Loader","","满速打包机","false","storage","Storage tech term. Box Loader tht loads boxes without pausing during box replacement."
"Fully Hopper-Locked","FHL","漏斗全锁","true","storage","这个装置内的漏斗在闲置时均被红石充能，上锁。"
"Furnace Array","","熔炉组","false","storage","用于高效，自动化，并列烧制物品的，由熔炉组成的阵列。"
"Global","","全局的","false","storage","Storage tech term. Annotates that a signal comes from a global system ( a ""brain"" ), not from within a Slice. For example, one global clock could send signals to 8 slices on an interval."
"Global Output","","全局输出","false","storage","Storage tech term. Refers to a contraption, usually a 1-wide tileable one, that has only one output for all the Slices, in contrast to one output per slice."
"Hopper Speed","HS","漏斗速","true","storage","储电述语，描述漏斗操作物品的速度（8游戏刻/物品）"
"Hopper-Locked","","锁漏斗","false","storage","储电述语，描述将未使用的漏斗进行上锁以减少卡顿的行为。"
"Hybrid (Box) Loader","","缓存打包机","false","storage","Refers to Box loader that puts loose items into a chest until the chest fills up, then starts filling shulker boxes with the items."
"Item Call","","物品呼叫","false","storage","Storage tech term. Refers to a device, mechanism or feature that allows the user to request items. The requested items may land in a user accessible inventory or be used to restock some component. Some systems can also use item call to automatically restock, for example from Bulk Storage."
"Item Checker","","物品比对","false","storage","Storage tech term. Device filters shulker boxes with stackable items of the same type. Useful for set-based processing where an extra item is needed to configure an item set."
"Item Input","","物品输入","false","storage","Storage tech term."
"Item Overflow","","物品溢出","false","storage","Storage tech term."
"Item Wanker (aka Keygen)","","潜影盒取样器","true","storage","Storage tech term. Usually part of a Box Sorter, a keygen is a contraption that takes one item out of a box, breaks it and sends the item and sends one through one hopper or Dropperline and the other through another one, with some delay."
"Keygen (aka Item Wanker)","","潜影盒取样器","true","storage","Storage tech term. Usually part of a Box Sorter, a keygen is a contraption that takes one item out of a box, breaks it and sends the item and sends one through one hopper or Dropperline and the other through another one, with some delay."
"Local","","局部的, 非全局的","false","storage","Storage tech term. Annotates that a signal  comes from within a Slice, not from a global system. For example, all 8 slices have their own clock."
"Local Output (aka Slice Preservation)","","单片输出","true","storage","Storage tech term."
"Mixed Box Loader","","混杂打包机","false","storage","Storage tech term. Refers to a Box Loader that can handle multiple itemtypes going to the same box. Fullness detection is usually done by reading that items are backing up in the container ( hopper / dropper ) feeding the box."
"Multi Box Sorter","MBS","多种类潜影盒分类","true","storage","Storage tech term."
"Multi Item Sorter","MIS","多物品分类","true","storage","Storage tech term. Refers to a type of item sorter (system) that sorts multiple item-types into a single chest or group of chests, usually used to reduce space used by single item-type sorters to group not too common items into categories."
"n X","","n倍速","true","storage","在储电社群中用于计算漏斗/投掷器处理物品的速度。"
"Pair Assembler","","潜影盒配对器","false","storage","Storage tech term. Refers to a contraption that takes in multiple boxes (usually single item-type boxes) and outputs pairs of boxes so that the boxes of each pair have the same item type. They differ in speed, how they handle single boxes (ones that don't have a matching pair) and implementation in general."
"Pair Finder","","潜影盒配对器","false","storage","Storage tech term. Refers to a contraption that takes in multiple boxes (usually single item-type boxes) and outputs pairs of boxes so that the boxes of each pair have the same item type. They differ in speed, how they handle single boxes (ones that don't have a matching pair) and implementation in general."
"Pair Optimizer","","潜影盒最优配对器","false","storage","Storage tech term."
"Pair Searcher","","潜影盒配对器","false","storage","Storage tech term. Refers to a contraption that takes in multiple boxes (usually single item-type boxes) and outputs pairs of boxes so that the boxes of each pair have the same item type. They differ in speed, how they handle single boxes (ones that don't have a matching pair) and implementation in general."
"Panel","","面板","false","storage","Imported from source category: storage."
"PEIS","PEIS","并行卸货阵列/整流器","true","storage","Imported from source category: storage."
"Peripheral","","其他的","false","storage","When used in storage tech, it is used to describe contraptions that are almost Storage Tech. Examples are Furnace Arrays, Brewers, Crafting stations, Autocrafters, ..."
"Precision Hopper","","精密漏斗","false","storage","Storage tech term. Refers to a hopper that is unlocked in the same tick as it's supposed to suck up an item. If the item entity is created in that tick, as it would be with for example timing a shulker box breaking correctly, there will be 0 physics enacted on that item. This makes it not only extremely reliable as there are no physics issues, but also might be lazy chunk compatible [Needs proof] ."
"Precision Loader","","精密打包机","false","storage","Storage tech term. Refers to a Box Loader that makes use of a Precision Hopper to achieve Slice Preservation."
"Prefill","","预填充","false","storage","Refers to filling containers with items beforehand."
"Preplace","","预放置","false","storage","Refers to blocks being placed beforehand."
"Pure Box","","纯净盒","false","storage","储电述语，形容该潜影盒中仅有一种类的物品。"
"Quad Bulk","","四边形大宗","false","storage","Storage tech term."
"Remote Bulk","","远程访问大宗","false","storage","Imported from source category: storage."
"Sequential","","顺序的","false","storage","Storage tech term."
"Serializer","","串行信号发生器","false","storage","In storage tech, it refers to components used to convert Serial codes into Parallel codes or viceversa. These sometimes also act as Encoders or Decoders, in the computational redstone sense. For example serial hex to parallel binary is a deserializer encoder."
"Set","","整流","false","storage","Imported from source category: storage."
"Set Based","","基于黑名单的","false","storage","Storage tech term."
"Signal Strength Sorter","SS Sorter","潜影盒填充度分类","true","storage","Storage tech term."
"Silent","","静音","false","storage","Storage tech term. Used to tag a contraption that does not make noise when activated. Sources of noise are: pistons, uncovered note blocks, trapdoors, doors and fence gates, and droppers or dispensers failing to fire. Silent contraptions usually avoid all of those."
"Slice Preservation (aka Local Output)","","单片输出","true","storage","Storage tech term. A contraption is said to be slice preserving if it outputs the shulker boxes or items within the slice, in contrast to Global Output, where there's one output for all Slices. This term is mostly used for 1-Wide Tileable contraptions. Since some systems are only mostly slice preserving, but fail to be so in some specific condition or with a very low change, some people use the term perfect slice preservation for a system that does not have said flaws."
"Smart Box Display","","可反悔潜影盒展示","false","storage","Storage tech term. A Box Display that will only break the shulker box when it's both empty and closed."
"Smart Box Sorter","","单片解锁潜影盒分类","false","storage","Storage tech term."
"Stack Separation/Separator","","堆分离","false","storage","Storage tech term. Uses item entity separators to sort up to one full stack at a time."
"Stack Sorter","","堆分类","false","storage","Storage tech term. Refers to contraption that uses stack separation to filter entire stack of items at once."
"Storage Input System","SIS","输入系统","true","storage","Storage tech term."
"Temp Storage","","临时存储(缓存)","false","storage","Storage tech term. Short for ""temporary storage"". Refers to a contraption that stores a partial box until another partial box with the same item type is input, after which both are output for merging"
"Unstackable Filter (aka Unstackable Separator)","","不可堆叠分离","true","storage","Storage tech term. Refers to a contraption that separates unstackable items from stackable items"
"Unstackable Separator (aka Unstackable Filter)","","不可堆叠分离","true","storage","Storage tech term. Refers to a contraption that separates unstackable items from stackable items"
"Unstackable Sorter","","不可堆叠分类","false","storage","Storage tech term. Refers to a contraption that sorts a certain unstackable(s) from other unstackables based on a unique property of that item"
"Variable","var","自适应的","true","storage","Storage tech term."
"Variable Loader","","自适应打包机","false","storage","Storage tech term."
"Variable Sorter","","自适应分类","false","storage","Storage tech term. Refers to an item filter that does not always filter for the same item, but instead can be remapped, meaning getting the item type reassigned (in contrast with Fixed Sorter)."
"Variable Stack Separation","","自适应堆分","false","storage","Storage tech term."
"Wanker(aka Item Wanker)","","潜影盒取样器","true","storage","Storage tech term."
"Whitelister Box Sorter","","白名单分盒器","false","storage","Storage tech term. Sorts boxes by checking if it contains a specific item type in any slot"
